Problem_Name	Plan_Length	Plan_Cost	Total_Time	Expanded	Reopened	Evaluated	Generated

02-depot
p01.pddl	13	13	0.0076284s	40	0	118	249
p02.pddl	21	21	0.019988s	188	0	689	1445
p03.pddl	46	46	0.121272s	1345	0	5531	10931
p04.pddl							
p05.pddl							
p06.pddl							
p07.pddl	29	29	0.446983s	3903	0	20027	37156
p08.pddl							
p09.pddl							
p10.pddl							
p11.pddl							
p12.pddl							
p13.pddl	29	29	0.181439s	347	0	2953	5297
p14.pddl							
p15.pddl							
p16.pddl	31	31	0.507878s	382	0	6911	8676
p17.pddl							
p18.pddl							
p19.pddl							
p20.pddl							
p21.pddl							
p22.pddl							
Folder runtime: 260 seconds

04-satellite
p01-pfile1.pddl	9	9	0.00527083s	28	0	53	198
p02-pfile2.pddl	13	13	0.00790872s	83	0	249	714
p03-pfile3.pddl	15	15	0.0122228s	105	0	769	1812
p04-pfile4.pddl	23	23	0.0289561s	435	0	2481	8987
p05-pfile5.pddl	23	23	0.102976s	528	0	10914	17761
p06-pfile6.pddl	27	27	0.121536s	753	0	13324	25581
p07-pfile7.pddl	33	33	0.361826s	1024	0	35400	51923
p08-pfile8.pddl							
